"k","yp_id","nara_comp_raw_f9","nara_acc_raw_f9","read_word_raw_f9","read_nonw_raw_f9","wold_comp_raw_f8","age_m_f8","age_m_f9"
"1","ALSPAC0043",28,61,9,7,10,112,122
"3","ALSPAC0044",10,90,3,3,7,110,119
"1","ALSPAC0045",39,55,7,7,11,110,123
"5","ALSPAC0046",8,43,9,6,3,98,122
"4","ALSPAC0047",13,72,6,5,10,106,114
"1","ALSPAC0048",39,50,8,7,10,99,127
"1","ALSPAC0049",39,53,8,7,10,105,126
"2","ALSPAC0050",43,1,10,9,14,97,113
"3","ALSPAC0051",11,82,3,3,10,100,121
"4","ALSPAC0052",15,72,5,0,5,99,125
"5","ALSPAC0053",15,46,10,5,5,109,120
"1","ALSPAC0054",28,45,9,9,11,104,114
"2","ALSPAC0055",36,11,10,8,9,108,125
"3","ALSPAC0056",9,81,1,-1,3,105,118
"1","ALSPAC0057",36,53,9,9,13,108,114
"5","ALSPAC0058",10,51,8,6,6,107,117
"1","ALSPAC0059",35,55,7,6,9,99,119
"1","ALSPAC0060",26,51,7,6,15,105,117
"4","ALSPAC0061",22,68,5,3,15,106,117
"1","ALSPAC0062",16,59,6,5,10,110,121
"1","ALSPAC0063",36,62,7,6,12,104,122
"1","ALSPAC0064",10,71,6,6,6,103,121
"1","ALSPAC0065",38,56,8,7,9,104,115
"1","ALSPAC0066",17,70,5,5,12,102,115
"3","ALSPAC0067",9,71,4,2,3,103,118
"1","ALSPAC0068",33,47,8,7,15,108,115
"4","ALSPAC0069",17,76,2,1,10,100,126
"1","ALSPAC0070",25,59,7,6,8,107,121
"4","ALSPAC0071",15,64,6,2,11,105,119
"1","ALSPAC0072",41,44,9,7,13,103,122
"4","ALSPAC0073",16,88,4,-3,NA,104,119
"1","ALSPAC0074",19,62,7,7,8,100,114
"1","ALSPAC0075",23,57,7,6,8,106,117
"2","ALSPAC0076",38,21,10,9,13,99,117
"1","ALSPAC0077",9,56,8,6,2,103,113
"4","ALSPAC0078",21,84,5,1,13,109,123
"1","ALSPAC0079",29,63,9,8,11,103,119
"4","ALSPAC0080",14,95,0,0,11,112,116
"1","ALSPAC0081",26,45,9,8,12,98,111
"1","ALSPAC0082",17,62,7,6,7,102,114
"1","ALSPAC0083",47,41,10,9,15,102,119
"4","ALSPAC0084",15,84,7,3,10,106,121
"3","ALSPAC0085",1,89,2,3,7,103,115
"1","ALSPAC0086",20,55,9,8,10,101,120
"1","ALSPAC0087",18,46,10,8,7,97,118
"2","ALSPAC0088",35,28,7,8,10,99,121
"2","ALSPAC0089",36,-2,9,9,9,104,127
"1","ALSPAC0090",42,65,7,6,14,103,118
"1","ALSPAC0091",29,69,6,6,11,107,118
"4","ALSPAC0092",22,78,8,5,10,99,117
"4","ALSPAC0093",7,79,3,2,9,100,123
"1","ALSPAC0094",22,39,9,8,7,104,123
"1","ALSPAC0095",36,51,8,8,13,100,116
"4","ALSPAC0096",20,86,4,1,15,107,115
"1","ALSPAC0097",45,39,10,8,12,102,120
"3","ALSPAC0098",0,100,0,0,3,109,123
"1","ALSPAC0099",32,49,9,9,9,101,119
"1","ALSPAC0100",24,51,8,NA,12,101,116
"5","ALSPAC0101",14,68,7,8,6,98,121
"1","ALSPAC0102",29,49,8,5,6,106,121
"2","ALSPAC0103",38,22,8,9,12,105,114
"1","ALSPAC0104",18,69,6,5,11,96,115
"1","ALSPAC0105",15,62,8,7,9,104,120
"1","ALSPAC0106",23,69,9,7,8,109,117
"1","ALSPAC0107",29,37,8,6,8,100,123
"5","ALSPAC0108",5,57,8,8,0,100,114
"4","ALSPAC0109",27,69,7,2,14,103,125
"5","ALSPAC0110",8,45,10,7,6,104,123
"1","ALSPAC0111",37,36,11,10,6,104,118
"1","ALSPAC0112",13,68,8,6,8,105,120
"4","ALSPAC0113",29,66,7,2,15,112,123
"1","ALSPAC0114",46,34,7,6,10,107,118
"1","ALSPAC0115",33,47,8,8,8,100,119
"1","ALSPAC0116",36,28,10,7,12,106,121
"1","ALSPAC0117",46,43,9,8,14,107,121
"1","ALSPAC0118",60,30,10,8,15,95,123
"2","ALSPAC0119",41,11,9,9,15,100,124
"1","ALSPAC0120",26,44,8,8,8,101,122
"3","ALSPAC0121",-3,109,0,2,1,97,113
"1","ALSPAC0122",8,62,7,7,NA,105,116
"1","ALSPAC0123",23,61,7,6,11,100,113
"5","ALSPAC0124",18,50,7,5,7,106,119
"1","ALSPAC0125",32,57,8,7,8,98,117
"3","ALSPAC0126",7,78,7,6,7,102,119
"1","ALSPAC0127",24,50,7,7,4,110,118
"1","ALSPAC0128",36,53,8,8,11,102,123
"1","ALSPAC0129",16,51,7,6,6,100,119
"1","ALSPAC0130",19,53,9,9,5,107,114
"5","ALSPAC0131",10,53,6,6,3,106,124
"1","ALSPAC0132",15,47,7,7,5,103,119
"2","ALSPAC0133",37,11,9,9,11,108,124
"1","ALSPAC0134",31,57,6,6,9,103,112
"1","ALSPAC0135",25,59,7,7,9,96,117
"1","ALSPAC0136",30,70,6,5,15,101,118
"1","ALSPAC0137",14,52,8,7,5,110,115
"1","ALSPAC0138",41,41,7,7,15,102,126
"1","ALSPAC0139",10,56,7,6,7,102,112
"1","ALSPAC0140",24,38,9,8,5,101,124
"4","ALSPAC0141",24,77,6,3,11,101,117
"3","ALSPAC0142",13,78,9,5,9,99,121
"5","ALSPAC0143",10,64,4,3,4,104,123
"1","ALSPAC0144",40,37,8,8,9,100,114
"1","ALSPAC0145",31,37,9,9,8,96,116
"2","ALSPAC0146",48,8,9,10,14,104,123
"1","ALSPAC0147",28,52,8,7,9,102,118
"1","ALSPAC0148",52,44,9,6,16,105,118
"4","ALSPAC0149",20,87,3,1,13,108,119
"1","ALSPAC0150",37,51,8,8,12,107,116
"2","ALSPAC0151",37,22,8,10,12,104,119
"4","ALSPAC0152",11,87,1,-4,8,101,119
"1","ALSPAC0153",19,60,7,7,7,105,117
"1","ALSPAC0154",17,43,9,7,5,98,113
"1","ALSPAC0155",34,44,8,6,NA,99,123
"4","ALSPAC0156",24,69,5,0,13,98,122
"1","ALSPAC0157",22,62,8,6,9,100,116
"3","ALSPAC0158",11,98,-1,1,NA,102,122
"1","ALSPAC0159",35,40,10,9,10,103,120
"1","ALSPAC0160",19,49,8,7,6,106,117
"1","ALSPAC0161",33,55,8,7,10,99,113
"1","ALSPAC0162",30,54,7,6,12,107,117
"1","ALSPAC0163",12,56,8,6,8,107,122
"1","ALSPAC0164",32,55,8,7,14,110,123
"5","ALSPAC0165",14,45,9,8,6,104,123
"1","ALSPAC0166",29,54,6,6,8,101,119
"5","ALSPAC0167",4,55,6,6,3,112,120
"4","ALSPAC0168",28,65,6,3,14,107,122
"4","ALSPAC0169",20,61,5,3,11,101,120
"1","ALSPAC0170",23,62,7,6,10,102,111
"4","ALSPAC0171",19,74,6,7,11,107,116
"1","ALSPAC0172",40,48,8,9,11,98,125
"1","ALSPAC0173",17,39,8,7,8,107,115
"4","ALSPAC0174",15,73,5,2,6,105,118
"4","ALSPAC0175",15,64,8,5,14,110,116
"2","ALSPAC0176",40,10,10,11,11,100,121
"1","ALSPAC0177",30,52,8,8,8,93,118
"1","ALSPAC0178",24,36,8,8,7,109,116
"1","ALSPAC0179",29,58,8,7,9,98,121
"1","ALSPAC0180",28,57,8,6,10,100,121
"2","ALSPAC0181",31,21,8,8,8,104,118
"4","ALSPAC0182",18,67,8,3,11,108,122
"1","ALSPAC0183",39,51,8,6,11,103,123
"2","ALSPAC0184",32,16,9,9,9,109,121
"2","ALSPAC0185",38,15,10,10,14,98,118
"4","ALSPAC0186",21,64,5,2,13,109,126
"5","ALSPAC0187",10,45,9,6,5,105,122
"4","ALSPAC0188",20,88,3,1,12,104,117
"1","ALSPAC0189",28,35,7,6,8,97,114
"1","ALSPAC0190",33,49,8,7,12,103,122
"1","ALSPAC0191",37,34,8,7,11,98,118
"5","ALSPAC0192",13,46,9,8,2,101,120
"1","ALSPAC0193",43,32,9,9,10,101,125
"1","ALSPAC0194",32,47,8,8,9,107,123
"1","ALSPAC0195",26,52,9,7,10,106,118
"1","ALSPAC0196",14,50,7,7,7,103,119
"2","ALSPAC0197",34,12,9,9,14,105,119
"4","ALSPAC0198",14,78,6,4,14,104,118
"1","ALSPAC0199",30,53,9,8,13,102,121
"4","ALSPAC0200",14,69,4,1,11,105,117
"4","ALSPAC0201",25,71,5,4,15,108,122
"4","ALSPAC0202",10,87,6,2,6,98,113
"2","ALSPAC0203",39,28,9,10,10,98,123
"5","ALSPAC0204",8,45,12,9,1,97,118
"4","ALSPAC0205",17,79,4,1,14,108,117
"1","ALSPAC0206",38,41,8,7,12,111,121
"4","ALSPAC0207",21,66,8,2,NA,110,128
"4","ALSPAC0208",29,58,7,2,13,96,120
"1","ALSPAC0209",34,59,7,5,12,106,123
"5","ALSPAC0210",19,36,8,7,7,103,122
"4","ALSPAC0211",25,74,4,1,9,96,121
"2","ALSPAC0212",30,37,9,8,11,100,118
"1","ALSPAC0213",18,41,8,8,3,95,123
"1","ALSPAC0214",39,29,9,7,13,107,122
"1","ALSPAC0215",21,56,8,7,9,103,121
"3","ALSPAC0216",16,82,9,4,9,107,121
"4","ALSPAC0217",15,78,4,1,11,102,122
"4","ALSPAC0218",32,61,6,3,15,103,123
"1","ALSPAC0219",38,42,8,8,9,107,124
"1","ALSPAC0220",29,63,7,5,8,104,124
"4","ALSPAC0221",17,82,4,1,11,102,122
"4","ALSPAC0222",13,79,6,3,11,109,113
"3","ALSPAC0223",9,89,2,3,7,103,119
"4","ALSPAC0224",19,76,4,1,14,105,118
"1","ALSPAC0225",33,46,7,7,11,111,123
"4","ALSPAC0226",22,59,6,5,14,108,117
"4","ALSPAC0227",26,61,5,2,13,104,124
"1","ALSPAC0228",28,59,8,8,10,109,113
"4","ALSPAC0229",15,69,6,2,9,106,121
"1","ALSPAC0230",43,34,9,7,9,102,115
"3","ALSPAC0231",19,89,4,3,8,107,122
"1","ALSPAC0232",30,46,7,7,7,104,114
"5","ALSPAC0233",4,45,7,7,-1,103,116
"2","ALSPAC0234",43,20,9,9,14,101,116
"3","ALSPAC0235",9,78,3,7,3,107,127
"1","ALSPAC0236",34,59,6,5,12,104,118
"3","ALSPAC0237",23,84,4,3,12,102,122
"1","ALSPAC0238",11,54,7,6,8,95,120
"2","ALSPAC0239",39,22,8,7,8,93,120
"5","ALSPAC0240",11,48,7,3,1,103,118
"1","ALSPAC0241",30,34,8,6,6,98,121
"3","ALSPAC0242",12,92,1,2,7,108,112
"2","ALSPAC0243",43,16,9,8,14,103,121
"2","ALSPAC0244",40,19,9,9,NA,97,118
"3","ALSPAC0245",20,47,9,6,12,102,119
"1","ALSPAC0246",31,44,9,8,7,104,123
"4","ALSPAC0247",23,58,8,9,16,108,123
"5","ALSPAC0248",18,32,9,5,7,104,126
"3","ALSPAC0249",8,92,0,1,3,102,115
"1","ALSPAC0250",23,49,8,6,11,107,118
"4","ALSPAC0251",22,60,8,5,10,96,116
"5","ALSPAC0252",4,65,5,3,0,107,120
"4","ALSPAC0253",15,71,4,-1,9,98,115
"5","ALSPAC0254",7,40,8,7,1,95,123
"2","ALSPAC0255",28,27,7,9,11,107,122
"1","ALSPAC0256",23,61,8,6,NA,107,114
"1","ALSPAC0257",32,59,7,6,9,103,118
"5","ALSPAC0258",17,22,10,9,5,106,113
"4","ALSPAC0259",28,64,8,1,13,108,117
"5","ALSPAC0260",14,40,7,6,5,102,124
"4","ALSPAC0261",25,60,7,3,NA,104,124
"3","ALSPAC0262",7,76,5,5,6,105,121
"2","ALSPAC0263",39,15,9,10,12,108,116
"3","ALSPAC0264",14,63,9,6,7,99,114
"2","ALSPAC0265",40,39,NA,9,14,101,112
"1","ALSPAC0266",16,70,7,5,12,102,122
"4","ALSPAC0267",31,63,10,7,NA,108,119
"1","ALSPAC0268",17,46,7,7,8,100,123
"1","ALSPAC0269",43,42,7,8,10,97,122
"1","ALSPAC0270",29,45,9,7,12,105,109
"1","ALSPAC0271",31,40,9,7,9,103,120
"5","ALSPAC0272",12,46,9,7,3,108,121
"4","ALSPAC0273",30,70,5,2,17,100,120
"4","ALSPAC0274",23,68,5,3,14,102,117
"4","ALSPAC0275",23,74,3,-1,17,101,121
"2","ALSPAC0276",44,10,10,10,11,105,117
"2","ALSPAC0277",36,28,9,8,11,105,121
"5","ALSPAC0278",6,44,10,8,0,103,114
"1","ALSPAC0279",29,39,8,9,9,95,119
"1","ALSPAC0280",42,51,7,5,10,101,118
"4","ALSPAC0281",20,77,5,3,11,107,113
"1","ALSPAC0282",42,53,8,7,11,104,119
"4","ALSPAC0283",14,83,3,0,5,100,121
"4","ALSPAC0284",26,78,9,4,16,104,121
"1","ALSPAC0285",30,52,7,7,7,106,125
"1","ALSPAC0286",52,39,10,8,NA,102,122
"5","ALSPAC0287",15,52,11,7,6,103,121
"5","ALSPAC0288",5,70,6,6,4,100,119
"4","ALSPAC0289",12,67,6,3,5,92,121
"1","ALSPAC0290",16,50,8,8,5,102,116
"1","ALSPAC0291",29,53,8,7,12,103,127
"1","ALSPAC0292",22,57,7,7,11,101,115
"1","ALSPAC0293",40,42,8,7,11,102,116
"3","ALSPAC0294",2,84,0,4,8,103,120
"2","ALSPAC0295",25,37,9,9,9,104,121
"1","ALSPAC0296",34,50,9,8,13,100,119
"2","ALSPAC0297",41,14,9,9,16,111,124
"5","ALSPAC0298",11,44,8,8,NA,105,118
"5","ALSPAC0299",6,44,7,7,-1,104,121
"4","ALSPAC0300",-1,83,0,-3,6,103,117
"1","ALSPAC0301",18,53,9,6,8,106,126
"1","ALSPAC0302",24,47,8,7,13,99,110
"3","ALSPAC0303",7,84,2,NA,10,104,120
"1","ALSPAC0304",14,57,7,7,8,109,112
"5","ALSPAC0305",20,30,11,7,3,98,117
"1","ALSPAC0306",15,69,8,7,8,102,115
"2","ALSPAC0307",35,22,8,9,12,104,123
"1","ALSPAC0308",35,59,8,7,10,100,116
"1","ALSPAC0309",10,62,7,7,4,107,118
"1","ALSPAC0310",24,63,6,5,9,101,123
"3","ALSPAC0311",7,85,0,2,8,104,119
"4","ALSPAC0312",16,72,6,5,6,105,120
"4","ALSPAC0313",13,87,5,-2,7,106,116
"2","ALSPAC0314",37,7,10,9,16,104,113
"2","ALSPAC0315",41,19,9,10,14,102,118
"1","ALSPAC0316",23,37,10,8,9,100,118
"1","ALSPAC0317",8,59,6,5,12,97,112
"4","ALSPAC0318",26,66,8,3,13,106,116
"5","ALSPAC0319",8,54,9,7,-2,104,121
"5","ALSPAC0320",13,45,8,7,5,103,120
"2","ALSPAC0321",38,29,9,9,13,105,114
"2","ALSPAC0322",40,19,9,8,13,107,110
"1","ALSPAC0323",29,74,7,6,16,110,120
"1","ALSPAC0324",30,44,9,7,11,107,117
"1","ALSPAC0325",34,52,8,6,13,100,123
"1","ALSPAC0326",42,42,8,9,16,105,121
"1","ALSPAC0327",41,38,9,8,12,101,115
"1","ALSPAC0328",28,51,9,7,9,106,121
"1","ALSPAC0329",36,36,9,8,6,110,123
"1","ALSPAC0330",31,38,7,6,9,97,126
"1","ALSPAC0331",26,54,7,6,11,106,117
"3","ALSPAC0332",4,74,4,1,6,103,119
"1","ALSPAC0333",23,47,10,9,10,105,117
"1","ALSPAC0334",24,55,7,7,NA,107,110
"2","ALSPAC0335",34,30,8,7,11,102,117
"4","ALSPAC0336",18,75,4,2,10,101,121
"5","ALSPAC0337",10,61,8,6,3,102,119
"1","ALSPAC0338",27,55,9,8,8,102,117
"1","ALSPAC0339",14,63,8,6,8,97,124
"4","ALSPAC0340",20,69,1,1,7,102,119
"4","ALSPAC0341",10,94,3,-1,8,102,116
"4","ALSPAC0342",18,81,3,2,13,98,117
"1","ALSPAC0343",36,50,8,7,10,107,118
"3","ALSPAC0344",10,74,4,3,6,105,115
"2","ALSPAC0345",32,43,9,9,11,107,123
"5","ALSPAC0346",12,45,7,8,1,100,121
"4","ALSPAC0347",6,89,4,NA,4,95,118
"2","ALSPAC0348",34,27,8,9,10,99,122
"4","ALSPAC0349",17,89,2,0,12,110,117
"1","ALSPAC0350",18,47,7,6,9,104,122
"4","ALSPAC0351",23,78,2,0,15,98,121
"3","ALSPAC0352",10,68,5,2,5,100,119
"1","ALSPAC0353",36,53,8,7,10,103,120
"1","ALSPAC0354",38,41,8,7,14,104,117
"1","ALSPAC0355",44,42,8,7,10,103,118
"1","ALSPAC0356",29,62,8,7,10,105,119
"3","ALSPAC0357",9,93,-1,-3,5,104,120
"1","ALSPAC0358",21,59,8,7,15,99,123
"4","ALSPAC0359",19,70,5,1,12,102,124
"1","ALSPAC0360",23,44,9,7,12,99,120
"1","ALSPAC0361",24,56,7,6,10,102,119
"1","ALSPAC0362",24,59,7,6,9,104,116
"1","ALSPAC0363",41,54,10,9,13,105,115
"5","ALSPAC0364",14,47,9,5,4,112,124
"4","ALSPAC0365",16,79,3,1,8,98,121
"1","ALSPAC0366",25,48,9,8,11,107,116
"5","ALSPAC0367",17,42,8,8,10,109,117
"2","ALSPAC0368",39,31,7,8,14,101,118
"4","ALSPAC0369",16,86,3,1,10,104,114
"4","ALSPAC0370",13,72,6,4,9,100,117
"1","ALSPAC0371",31,56,8,6,8,103,116
"5","ALSPAC0372",11,54,7,8,2,107,118
"4","ALSPAC0373",6,71,4,4,3,103,118
"2","ALSPAC0374",45,24,10,10,13,102,121
"4","ALSPAC0375",19,89,4,2,12,109,128
"1","ALSPAC0376",25,66,7,5,NA,103,114
"1","ALSPAC0377",37,48,8,8,8,113,123
"5","ALSPAC0378",7,51,9,6,3,107,122
"1","ALSPAC0379",37,59,7,6,14,102,116
"5","ALSPAC0380",6,60,7,5,0,100,113
"4","ALSPAC0381",22,64,5,NA,11,99,121
"5","ALSPAC0382",16,47,11,10,NA,99,124
"2","ALSPAC0383",34,36,8,9,8,96,125
"4","ALSPAC0384",21,51,7,4,14,106,117
"2","ALSPAC0385",36,31,8,7,9,106,115
"4","ALSPAC0386",20,82,6,4,13,97,122
"1","ALSPAC0387",30,43,7,6,8,108,122
"1","ALSPAC0388",22,64,8,6,7,104,121
"1","ALSPAC0389",20,47,7,8,3,105,115
"4","ALSPAC0390",21,73,4,2,10,107,123
"1","ALSPAC0391",22,68,9,8,NA,97,125
"1","ALSPAC0392",46,53,9,8,16,106,115
"5","ALSPAC0393",14,53,9,9,7,105,122
"2","ALSPAC0394",36,35,8,8,12,98,121
"1","ALSPAC0395",42,41,8,7,9,98,119
"1","ALSPAC0396",23,64,6,5,6,98,108
"2","ALSPAC0397",33,30,10,10,11,103,116
"1","ALSPAC0398",12,65,7,5,7,104,120
"1","ALSPAC0399",25,72,7,6,7,112,118
"1","ALSPAC0400",37,48,9,8,14,102,114
"3","ALSPAC0401",16,74,1,1,11,102,119
"2","ALSPAC0402",35,33,7,7,11,98,115
"4","ALSPAC0403",21,63,5,3,9,106,121
"2","ALSPAC0404",34,6,9,8,10,102,119
"4","ALSPAC0405",14,98,1,0,11,105,119
"2","ALSPAC0406",35,26,10,9,12,102,120
"1","ALSPAC0407",37,49,8,8,9,100,118
"1","ALSPAC0408",47,24,10,9,15,107,117
"3","ALSPAC0409",7,79,4,3,8,97,117
"1","ALSPAC0410",39,54,9,8,9,101,121
"4","ALSPAC0411",22,76,4,2,9,100,122
"3","ALSPAC0412",21,65,8,7,17,109,125
"3","ALSPAC0413",6,84,2,0,8,107,122
"3","ALSPAC0414",3,91,2,2,10,109,115
"1","ALSPAC0415",30,68,6,NA,8,108,123
"3","ALSPAC0416",7,83,1,2,0,99,121
"1","ALSPAC0417",19,49,7,6,NA,105,112
"5","ALSPAC0418",14,33,12,10,6,108,118
"1","ALSPAC0419",16,47,8,5,8,104,115
"2","ALSPAC0420",32,21,10,8,10,94,116
"1","ALSPAC0421",41,56,7,9,NA,102,122
"1","ALSPAC0422",16,57,7,8,11,106,120
"1","ALSPAC0423",45,48,9,7,16,101,120
"4","ALSPAC0424",19,71,6,5,11,101,123
"4","ALSPAC0425",12,69,4,3,9,107,120
"5","ALSPAC0426",10,45,7,4,1,98,117
"1","ALSPAC0427",46,56,9,7,8,98,112
"4","ALSPAC0428",9,84,3,2,9,105,124
"1","ALSPAC0429",29,52,7,6,8,110,118
"1","ALSPAC0430",16,62,7,6,10,105,114
"5","ALSPAC0431",15,39,8,7,7,103,122
"4","ALSPAC0432",10,80,5,1,7,105,122
"1","ALSPAC0433",45,46,9,8,10,99,115
"1","ALSPAC0434",13,63,7,7,8,110,118
"1","ALSPAC0435",32,38,9,8,10,101,118
"2","ALSPAC0436",38,32,10,10,12,104,112
"4","ALSPAC0437",26,75,5,3,15,105,124
"1","ALSPAC0438",35,52,7,6,6,99,119
"3","ALSPAC0439",11,99,0,1,3,100,122
"1","ALSPAC0440",30,48,8,6,10,104,117
"1","ALSPAC0441",31,63,9,7,11,105,113
"2","ALSPAC0442",40,17,11,9,11,106,119
"1","ALSPAC0443",35,42,8,7,9,102,128
"4","ALSPAC0444",12,87,4,2,8,104,116
"1","ALSPAC0445",33,67,7,7,14,103,115
"3","ALSPAC0446",23,61,14,7,12,98,123
"2","ALSPAC0447",32,34,7,8,10,108,120
"2","ALSPAC0448",44,1,11,11,14,101,124
"3","ALSPAC0449",13,81,7,3,11,108,117
"4","ALSPAC0450",27,55,6,2,12,111,121
"3","ALSPAC0451",16,72,6,4,8,104,116
"1","ALSPAC0452",29,52,8,7,14,109,122
"5","ALSPAC0453",14,41,8,5,6,104,123
"1","ALSPAC0454",22,52,8,6,7,98,121
"3","ALSPAC0455",3,79,4,2,NA,110,115
"1","ALSPAC0456",24,47,8,8,7,105,121
"1","ALSPAC0457",19,69,6,5,8,102,118
"2","ALSPAC0458",43,21,8,8,12,100,121
"1","ALSPAC0459",18,67,7,5,10,106,116
"1","ALSPAC0460",23,54,8,7,NA,101,112
"1","ALSPAC0461",23,38,8,8,9,97,119
"2","ALSPAC0462",40,15,10,9,12,102,124
"1","ALSPAC0463",20,54,9,7,8,105,114
"4","ALSPAC0464",20,66,7,2,12,103,116
"1","ALSPAC0465",41,41,8,6,14,107,119
"4","ALSPAC0466",19,59,5,1,11,101,117
"1","ALSPAC0467",43,43,9,8,12,109,124
"4","ALSPAC0468",17,86,4,2,13,102,124
"3","ALSPAC0469",21,83,2,4,13,102,120
"2","ALSPAC0470",41,7,10,10,11,101,119
"5","ALSPAC0471",7,57,6,6,5,104,118
"4","ALSPAC0472",19,74,5,1,12,107,113
"1","ALSPAC0473",29,61,7,7,10,103,110
"2","ALSPAC0474",36,27,8,8,13,103,110
"1","ALSPAC0475",45,38,8,5,8,102,118
"1","ALSPAC0476",20,56,7,6,6,99,117
"1","ALSPAC0477",37,49,8,8,13,104,117
"1","ALSPAC0478",28,45,9,7,8,106,106
"1","ALSPAC0479",50,33,9,8,11,102,117
"4","ALSPAC0480",26,70,7,2,13,108,123
"2","ALSPAC0481",36,20,8,8,11,103,119
"4","ALSPAC0482",31,74,5,2,15,99,116
"1","ALSPAC0483",50,49,8,7,NA,108,118
"1","ALSPAC0484",48,43,9,8,13,109,119
"4","ALSPAC0485",16,69,4,4,7,102,118
"4","ALSPAC0486",22,57,5,1,11,99,115
"2","ALSPAC0487",37,24,10,11,12,100,121
"3","ALSPAC0488",16,68,10,5,12,103,122
"5","ALSPAC0489",7,57,5,4,5,105,122
"1","ALSPAC0490",9,64,6,6,7,108,118
"2","ALSPAC0491",35,24,9,10,12,109,118
"1","ALSPAC0492",23,59,8,8,7,102,121
"2","ALSPAC0493",40,22,9,9,14,101,113
"4","ALSPAC0494",17,69,7,5,13,101,114
"1","ALSPAC0495",32,60,8,6,11,110,126
"5","ALSPAC0496",11,40,9,8,8,102,121
"2","ALSPAC0497",41,14,8,9,12,104,113
"1","ALSPAC0498",6,58,8,7,5,103,125
"2","ALSPAC0499",41,8,10,10,NA,107,119
"1","ALSPAC0500",30,57,7,6,8,100,113
"1","ALSPAC0501",36,35,9,9,5,102,116
"1","ALSPAC0502",47,49,9,7,11,95,116
"1","ALSPAC0503",39,43,9,7,13,100,120
"2","ALSPAC0504",37,24,9,9,8,98,119
"1","ALSPAC0505",34,49,7,6,12,100,117
"4","ALSPAC0506",13,91,2,0,9,101,115
"1","ALSPAC0507",29,55,8,7,15,102,118
"1","ALSPAC0508",49,37,9,8,12,94,119
"1","ALSPAC0509",37,38,8,8,13,98,113
"2","ALSPAC0510",28,37,8,8,9,104,117
"1","ALSPAC0511",36,48,10,7,14,102,116
"2","ALSPAC0512",42,18,9,11,11,105,121
"2","ALSPAC0513",32,24,6,6,13,110,125
"5","ALSPAC0514",7,60,7,6,7,107,129
"5","ALSPAC0515",11,56,6,7,5,114,126
"4","ALSPAC0516",26,82,8,1,14,109,123
"4","ALSPAC0517",23,58,4,5,11,106,128
"1","ALSPAC0518",31,51,7,7,11,102,117
"4","ALSPAC0519",22,82,1,0,12,107,119
"1","ALSPAC0520",59,34,9,9,NA,101,123
"4","ALSPAC0521",22,63,6,3,11,104,114
"2","ALSPAC0522",41,35,NA,8,13,109,123
"1","ALSPAC0523",32,47,9,8,8,101,118
"2","ALSPAC0524",40,27,9,9,12,102,120
"4","ALSPAC0525",20,75,7,3,NA,100,113
"4","ALSPAC0526",26,62,7,2,11,106,119
"4","ALSPAC0527",10,84,0,-1,9,100,121
"1","ALSPAC0528",32,54,6,6,9,105,117
"1","ALSPAC0529",34,59,8,6,12,105,116
"2","ALSPAC0530",49,10,10,9,14,102,124
