"k","yp_id","nara_comp_raw_f9","nara_acc_raw_f9","read_word_raw_f9","read_nonw_raw_f9","wold_comp_raw_f8","age_m_f8","age_m_f9","yp_no"
"1","ALSPAC0086",27,70,9,9,12,101,121,86
"1","ALSPAC0087",33,65,10,8,11,97,120,87
"3","ALSPAC0088",22,79,6,7,6,99,121,88
"3","ALSPAC0089",4,55,3,2,-1,105,126,89
"1","ALSPAC0090",29,87,10,8,9,103,114,90
"1","ALSPAC0091",21,79,8,8,7,107,115,91
"1","ALSPAC0092",33,79,8,6,9,100,121,92
"3","ALSPAC0093",17,80,8,9,6,98,114,93
"1","ALSPAC0094",39,68,9,8,11,104,125,94
"1","ALSPAC0095",37,78,9,9,13,100,115,95
"1","ALSPAC0096",24,78,10,8,11,108,118,96
"1","ALSPAC0097",50,82,11,9,13,101,119,97
"3","ALSPAC0098",28,91,9,6,11,105,111,98
"1","ALSPAC0099",37,75,10,10,10,101,119,99
"1","ALSPAC0100",31,71,8,NA,14,102,117,100
"2","ALSPAC0101",23,48,8,8,9,97,124,101
"1","ALSPAC0102",35,74,9,6,8,106,121,102
"3","ALSPAC0103",22,72,6,6,8,104,114,103
"1","ALSPAC0104",16,71,7,7,10,97,114,104
"1","ALSPAC0105",20,68,9,8,10,104,121,105
"1","ALSPAC0106",19,74,10,9,6,109,115,106
"1","ALSPAC0107",44,72,9,7,11,100,125,107
"2","ALSPAC0108",12,45,6,5,4,100,113,108
"1","ALSPAC0109",43,83,10,8,12,101,113,109
"2","ALSPAC0110",5,33,6,3,6,103,122,110
"1","ALSPAC0111",49,74,11,11,10,105,119,111
"1","ALSPAC0112",15,69,9,7,8,105,120,112
"3","ALSPAC0113",24,55,6,3,9,109,115,113
"1","ALSPAC0114",53,81,8,7,12,107,118,114
"1","ALSPAC0115",39,75,9,9,9,100,118,115
"1","ALSPAC0116",53,75,10,7,17,107,123,116
"1","ALSPAC0117",46,85,10,9,14,107,120,117
"1","ALSPAC0118",62,91,12,9,15,94,120,118
"3","ALSPAC0119",16,61,6,6,10,100,125,119
"1","ALSPAC0120",38,71,9,8,11,101,123,120
"2","ALSPAC0121",17,66,8,8,2,100,122,121
"1","ALSPAC0122",17,62,7,7,NA,105,119,122
"1","ALSPAC0123",24,72,8,7,11,100,113,123
"2","ALSPAC0124",17,33,4,1,7,106,122,124
"1","ALSPAC0125",32,77,9,8,7,98,115,125
"2","ALSPAC0126",8,35,2,1,1,102,118,126
"1","ALSPAC0127",33,70,8,7,6,110,120,127
"1","ALSPAC0128",35,81,10,10,10,102,121,128
"1","ALSPAC0129",29,66,8,7,10,100,121,129
"1","ALSPAC0130",29,66,9,9,8,107,116,130
"2","ALSPAC0131",12,40,4,4,4,106,124,131
"1","ALSPAC0132",31,64,7,7,9,103,123,132
"3","ALSPAC0133",14,64,5,5,5,108,123,133
"1","ALSPAC0134",31,75,7,7,9,103,111,134
"1","ALSPAC0135",26,73,8,8,10,96,116,135
"1","ALSPAC0136",20,81,9,7,12,101,115,136
"1","ALSPAC0137",28,64,8,7,9,110,118,137
"1","ALSPAC0138",45,83,9,9,15,101,125,138
"1","ALSPAC0139",22,62,7,7,11,103,115,139
"1","ALSPAC0140",41,69,9,8,9,101,126,140
"1","ALSPAC0141",34,80,9,8,8,102,119,141
"3","ALSPAC0142",22,65,7,4,3,99,120,142
"2","ALSPAC0143",18,49,5,3,7,104,125,143
"1","ALSPAC0144",50,76,9,8,12,101,114,144
"1","ALSPAC0145",45,71,9,9,12,97,118,145
"3","ALSPAC0146",21,53,4,5,8,104,124,146
"1","ALSPAC0147",33,74,9,8,10,102,118,147
"1","ALSPAC0148",49,88,11,8,14,105,116,148
"1","ALSPAC0149",24,77,9,8,8,107,115,149
"1","ALSPAC0150",37,79,9,9,12,107,115,150
"3","ALSPAC0151",21,72,6,7,7,104,119,151
"3","ALSPAC0152",25,84,12,8,4,101,117,152
"1","ALSPAC0153",24,70,8,8,8,105,117,153
"1","ALSPAC0154",35,62,8,6,11,98,117,154
"1","ALSPAC0155",41,76,9,7,NA,99,123,155
"1","ALSPAC0156",41,81,11,9,11,97,118,156
"1","ALSPAC0157",23,71,9,8,9,100,116,157
"3","ALSPAC0158",32,82,8,8,NA,100,118,158
"1","ALSPAC0159",45,76,11,9,13,103,120,159
"1","ALSPAC0160",31,67,8,7,10,106,119,160
"1","ALSPAC0161",33,76,9,8,10,99,112,161
"1","ALSPAC0162",32,76,8,7,12,107,117,162
"1","ALSPAC0163",22,66,8,7,11,107,124,163
"1","ALSPAC0164",31,79,9,8,13,109,122,164
"2","ALSPAC0165",10,30,4,3,5,103,123,165
"1","ALSPAC0166",32,75,8,7,8,101,119,166
"2","ALSPAC0167",9,44,4,4,5,112,120,167
"1","ALSPAC0168",46,84,10,9,12,105,114,168
"3","ALSPAC0169",12,58,5,6,3,101,118,169
"1","ALSPAC0170",24,71,8,8,10,102,111,170
"1","ALSPAC0171",36,77,7,8,12,108,120,171
"1","ALSPAC0172",40,82,10,10,10,98,123,172
"1","ALSPAC0173",38,63,8,7,14,108,119,173
"3","ALSPAC0174",17,72,6,4,3,105,118,174
"1","ALSPAC0175",45,74,9,8,19,111,121,175
"3","ALSPAC0176",15,61,6,7,3,101,120,176
"1","ALSPAC0177",34,74,9,9,9,93,117,177
"1","ALSPAC0178",43,67,8,8,13,109,120,178
"1","ALSPAC0179",29,76,9,8,9,98,120,179
"1","ALSPAC0180",29,76,9,8,9,100,120,180
"3","ALSPAC0181",15,77,6,4,2,105,117,181
"1","ALSPAC0182",43,75,9,7,14,106,116,182
"1","ALSPAC0183",38,83,9,8,10,103,121,183
"3","ALSPAC0184",12,71,6,5,3,109,120,184
"3","ALSPAC0185",16,66,8,7,8,98,118,185
"1","ALSPAC0186",47,77,10,9,15,106,112,186
"2","ALSPAC0187",7,32,4,2,5,104,121,187
"1","ALSPAC0188",23,77,9,8,7,104,117,188
"1","ALSPAC0189",46,69,6,6,14,98,117,189
"1","ALSPAC0190",36,78,9,8,12,103,122,190
"1","ALSPAC0191",50,75,8,7,14,98,120,191
"2","ALSPAC0192",11,32,5,3,2,101,119,192
"1","ALSPAC0193",54,81,10,9,13,100,125,193
"1","ALSPAC0194",38,77,9,9,10,107,123,194
"1","ALSPAC0195",32,73,9,8,12,106,118,195
"1","ALSPAC0196",28,64,7,7,10,104,122,196
"3","ALSPAC0197",10,66,6,5,8,105,119,197
"1","ALSPAC0198",30,73,9,8,15,104,120,198
"1","ALSPAC0199",32,77,10,10,13,102,120,199
"3","ALSPAC0200",13,69,8,8,4,106,117,200
"1","ALSPAC0201",40,82,9,9,14,106,114,201
"1","ALSPAC0202",22,68,8,6,7,101,126,202
"3","ALSPAC0203",27,75,8,9,5,99,124,203
"2","ALSPAC0204",7,33,7,4,2,97,116,204
"1","ALSPAC0205",30,75,10,8,13,109,119,205
"1","ALSPAC0206",44,79,9,8,13,111,121,206
"1","ALSPAC0207",46,75,10,7,NA,106,110,207
"1","ALSPAC0208",52,86,11,9,11,97,121,208
"1","ALSPAC0209",30,81,9,7,10,106,121,209
"2","ALSPAC0210",10,20,1,1,5,102,123,210
"1","ALSPAC0211",37,80,9,9,6,96,118,211
"3","ALSPAC0212",24,88,11,9,8,100,118,212
"1","ALSPAC0213",37,65,8,8,9,95,125,213
"1","ALSPAC0214",53,77,9,7,17,107,123,214
"1","ALSPAC0215",27,71,9,8,11,103,121,215
"3","ALSPAC0216",27,66,6,2,7,105,118,216
"1","ALSPAC0217",32,71,9,8,12,101,117,217
"1","ALSPAC0218",51,88,11,9,13,102,115,218
"1","ALSPAC0219",44,80,9,9,10,106,124,219
"1","ALSPAC0220",25,78,9,7,6,103,122,220
"1","ALSPAC0221",28,74,9,8,10,101,116,221
"1","ALSPAC0222",30,72,8,7,12,111,122,222
"3","ALSPAC0223",25,77,7,7,9,103,120,223
"3","ALSPAC0224",22,70,8,8,8,106,119,224
"1","ALSPAC0225",38,78,8,9,12,110,123,225
"1","ALSPAC0226",50,80,10,9,17,109,120,226
"1","ALSPAC0227",50,82,10,10,13,102,115,227
"1","ALSPAC0228",28,74,9,9,10,110,113,228
"3","ALSPAC0229",15,68,7,4,5,105,115,229
"1","ALSPAC0230",53,78,10,7,12,103,116,230
"2","ALSPAC0231",21,36,6,5,9,105,119,231
"1","ALSPAC0232",38,72,7,8,9,105,115,232
"2","ALSPAC0233",5,37,3,2,1,104,114,233
"3","ALSPAC0234",24,67,7,7,10,100,117,234
"2","ALSPAC0235",11,33,2,5,5,101,110,235
"1","ALSPAC0236",30,80,8,7,10,104,116,236
"2","ALSPAC0237",19,30,5,3,11,101,124,237
"1","ALSPAC0238",24,64,8,7,11,95,122,238
"3","ALSPAC0239",23,72,6,2,3,93,121,239
"2","ALSPAC0240",11,36,3,-1,2,103,118,240
"1","ALSPAC0241",46,71,8,6,11,99,123,241
"3","ALSPAC0242",27,78,7,7,12,110,124,242
"3","ALSPAC0243",22,64,6,4,9,102,121,243
"3","ALSPAC0244",21,69,6,5,NA,97,119,244
"3","ALSPAC0245",5,39,5,5,2,104,120,245
"1","ALSPAC0246",40,74,9,8,9,104,123,246
"3","ALSPAC0247",12,53,2,5,11,106,115,247
"2","ALSPAC0248",5,18,1,-2,3,103,127,248
"3","ALSPAC0249",24,82,7,7,11,103,123,249
"1","ALSPAC0250",33,70,8,7,13,107,119,250
"1","ALSPAC0251",50,80,9,8,12,99,126,251
"2","ALSPAC0252",14,53,5,3,4,107,120,252
"1","ALSPAC0253",38,72,10,9,9,101,126,253
"2","ALSPAC0254",3,31,2,2,1,94,120,254
"3","ALSPAC0255",16,82,5,9,7,107,121,255
"1","ALSPAC0256",24,72,9,7,NA,107,114,256
"1","ALSPAC0257",30,78,9,8,8,103,116,257
"2","ALSPAC0258",3,9,-1,-1,3,107,113,258
"3","ALSPAC0259",19,55,7,2,7,109,120,259
"2","ALSPAC0260",8,27,1,0,4,101,124,260
"1","ALSPAC0261",50,81,10,9,NA,102,116,261
"3","ALSPAC0262",16,69,6,5,5,104,115,262
"3","ALSPAC0263",19,65,5,7,6,108,115,263
"2","ALSPAC0264",1,20,2,2,-1,103,124,264
"3","ALSPAC0265",35,83,NA,9,13,100,113,265
"1","ALSPAC0266",14,72,9,7,10,101,121,266
"1","ALSPAC0267",48,87,8,7,NA,107,116,267
"1","ALSPAC0268",31,67,7,7,12,99,126,268
"1","ALSPAC0269",46,81,9,9,11,97,120,269
"1","ALSPAC0270",39,71,9,7,15,106,111,270
"1","ALSPAC0271",43,73,9,7,12,103,121,271
"2","ALSPAC0272",10,32,4,3,3,108,122,272
"1","ALSPAC0273",40,88,11,10,12,100,117,273
"3","ALSPAC0274",18,61,6,7,7,103,122,274
"1","ALSPAC0275",35,81,11,10,12,101,117,275
"3","ALSPAC0276",20,58,5,4,4,105,117,276
"3","ALSPAC0277",24,77,9,5,7,105,121,277
"2","ALSPAC0278",6,34,5,3,2,104,112,278
"1","ALSPAC0279",43,71,9,9,13,95,120,279
"1","ALSPAC0280",39,82,9,7,9,101,116,280
"1","ALSPAC0281",33,78,8,8,10,109,121,281
"1","ALSPAC0282",39,83,10,8,9,104,117,282
"1","ALSPAC0283",28,68,8,7,5,100,118,283
"1","ALSPAC0284",33,84,10,7,13,103,115,284
"1","ALSPAC0285",34,77,9,8,7,105,125,285
"1","ALSPAC0286",52,88,11,10,NA,101,120,286
"2","ALSPAC0287",16,35,8,3,7,102,122,287
"2","ALSPAC0288",17,55,8,7,9,100,120,288
"1","ALSPAC0289",43,68,8,7,11,92,125,289
"1","ALSPAC0290",29,64,8,8,9,102,118,290
"1","ALSPAC0291",32,78,9,8,12,103,126,291
"1","ALSPAC0292",27,71,8,8,12,101,116,292
"1","ALSPAC0293",45,78,9,8,12,102,115,293
"2","ALSPAC0294",8,43,1,3,7,102,116,294
"3","ALSPAC0295",20,92,11,10,5,105,119,295
"1","ALSPAC0296",36,78,10,10,13,100,118,296
"3","ALSPAC0297",18,63,7,7,11,110,124,297
"2","ALSPAC0298",9,32,3,3,NA,105,118,298
"2","ALSPAC0299",5,35,2,3,-1,104,119,299
"1","ALSPAC0300",25,56,9,9,10,105,123,300
"1","ALSPAC0301",27,70,10,7,9,105,127,301
"1","ALSPAC0302",35,69,9,7,16,100,112,302
"3","ALSPAC0303",22,74,9,NA,7,104,117,303
"1","ALSPAC0304",23,65,7,7,10,109,115,304
"2","ALSPAC0305",9,15,2,-1,1,99,117,305
"1","ALSPAC0306",16,68,9,9,7,103,115,306
"3","ALSPAC0307",19,74,7,7,7,104,123,307
"1","ALSPAC0308",31,79,10,8,9,100,114,308
"1","ALSPAC0309",19,64,8,8,6,107,120,309
"1","ALSPAC0310",23,75,7,7,8,101,122,310
"2","ALSPAC0311",10,41,4,3,8,104,119,311
"1","ALSPAC0312",39,71,7,7,10,104,118,312
"1","ALSPAC0313",24,69,9,6,6,107,120,313
"3","ALSPAC0314",9,60,7,6,10,103,113,314
"3","ALSPAC0315",22,66,7,8,9,102,119,315
"1","ALSPAC0316",41,67,9,8,14,101,121,316
"1","ALSPAC0317",19,62,6,6,15,97,114,317
"1","ALSPAC0318",44,84,10,8,12,107,120,318
"2","ALSPAC0319",11,42,6,5,-1,104,119,319
"2","ALSPAC0320",10,31,4,2,5,102,121,320
"3","ALSPAC0321",26,77,9,7,10,104,115,321
"3","ALSPAC0322",22,68,6,4,9,106,111,322
"1","ALSPAC0323",17,82,10,9,11,110,117,323
"1","ALSPAC0324",39,73,9,8,14,107,119,324
"1","ALSPAC0325",35,80,10,8,13,99,121,325
"1","ALSPAC0326",45,82,9,10,16,105,120,326
"1","ALSPAC0327",49,79,9,9,15,102,115,327
"1","ALSPAC0328",33,74,10,8,10,106,121,328
"1","ALSPAC0329",48,76,9,8,9,110,124,329
"1","ALSPAC0330",43,75,8,7,12,97,126,330
"1","ALSPAC0331",30,73,8,7,12,106,117,331
"3","ALSPAC0332",12,70,9,6,5,103,116,332
"1","ALSPAC0333",34,69,10,9,13,105,119,333
"1","ALSPAC0334",30,70,7,7,NA,107,111,334
"3","ALSPAC0335",23,81,7,5,8,102,117,335
"1","ALSPAC0336",36,74,9,8,10,100,118,336
"2","ALSPAC0337",17,45,7,5,6,102,120,337
"1","ALSPAC0338",31,73,10,9,9,102,117,338
"1","ALSPAC0339",19,69,9,8,9,97,124,339
"1","ALSPAC0340",41,75,9,9,7,103,120,340
"1","ALSPAC0341",16,67,8,7,6,103,120,341
"1","ALSPAC0342",29,76,9,9,10,99,122,342
"1","ALSPAC0343",38,79,10,9,10,107,118,343
"2","ALSPAC0344",6,31,4,3,4,107,120,344
"3","ALSPAC0345",30,91,12,10,9,107,123,345
"2","ALSPAC0346",9,32,2,4,2,100,120,346
"3","ALSPAC0347",20,90,7,NA,5,95,120,347
"3","ALSPAC0348",21,78,8,8,5,99,122,348
"3","ALSPAC0349",30,80,9,8,10,110,118,349
"1","ALSPAC0350",32,68,8,7,12,104,124,350
"3","ALSPAC0351",27,68,9,9,8,98,122,351
"2","ALSPAC0352",3,27,4,2,3,100,119,352
"1","ALSPAC0353",36,79,10,8,9,102,118,353
"1","ALSPAC0354",45,78,9,8,15,104,117,354
"1","ALSPAC0355",47,82,9,8,11,103,117,355
"1","ALSPAC0356",26,78,9,9,8,105,118,356
"3","ALSPAC0357",27,81,10,7,14,102,119,357
"1","ALSPAC0358",23,74,10,9,15,99,123,358
"1","ALSPAC0359",41,75,10,9,13,100,116,359
"1","ALSPAC0360",36,69,9,8,15,100,122,360
"1","ALSPAC0361",28,73,8,7,10,102,119,361
"1","ALSPAC0362",26,72,8,7,10,104,116,362
"1","ALSPAC0363",38,82,11,10,12,105,113,363
"2","ALSPAC0364",12,33,5,1,4,111,126,364
"1","ALSPAC0365",32,72,8,8,8,98,119,365
"1","ALSPAC0366",34,71,9,8,13,107,118,366
"2","ALSPAC0367",13,25,2,2,10,109,121,367
"3","ALSPAC0368",28,79,6,6,13,101,119,368
"1","ALSPAC0369",24,74,9,8,8,105,121,369
"1","ALSPAC0370",37,70,8,8,13,101,123,370
"1","ALSPAC0371",32,76,9,7,8,103,115,371
"2","ALSPAC0372",15,39,5,5,4,107,120,372
"3","ALSPAC0373",9,77,4,5,0,103,115,373
"3","ALSPAC0374",30,68,9,7,8,102,122,374
"1","ALSPAC0375",23,74,8,7,10,104,107,375
"1","ALSPAC0376",22,74,8,7,NA,104,113,376
"1","ALSPAC0377",39,80,9,9,8,112,122,377
"2","ALSPAC0378",9,39,7,3,4,106,122,378
"1","ALSPAC0379",31,81,9,8,12,103,113,379
"2","ALSPAC0380",15,47,6,3,5,101,112,380
"1","ALSPAC0381",46,78,10,NA,12,99,120,381
"2","ALSPAC0382",13,30,7,5,NA,98,124,382
"3","ALSPAC0383",28,85,8,9,4,97,125,383
"1","ALSPAC0384",58,79,10,9,17,107,123,384
"3","ALSPAC0385",26,80,7,4,6,106,115,385
"3","ALSPAC0386",25,73,7,6,11,96,121,386
"1","ALSPAC0387",40,74,8,7,10,108,123,387
"1","ALSPAC0388",22,73,9,8,6,104,120,388
"1","ALSPAC0389",34,65,7,8,7,106,117,389
"3","ALSPAC0390",22,66,5,5,6,105,114,390
"1","ALSPAC0391",18,75,11,10,NA,96,122,391
"1","ALSPAC0392",39,86,11,9,14,106,112,392
"2","ALSPAC0393",15,36,6,6,8,104,124,393
"3","ALSPAC0394",28,82,10,8,10,98,122,394
"1","ALSPAC0395",47,80,9,8,10,98,118,395
"1","ALSPAC0396",24,70,7,6,7,99,108,396
"3","ALSPAC0397",23,81,11,10,6,103,116,397
"1","ALSPAC0398",16,67,8,6,8,104,121,398
"1","ALSPAC0399",17,76,9,8,4,111,116,399
"1","ALSPAC0400",40,78,10,9,14,103,113,400
"2","ALSPAC0401",8,28,4,3,10,103,122,401
"3","ALSPAC0402",26,83,6,4,9,98,116,402
"3","ALSPAC0403",15,60,4,4,4,105,116,403
"3","ALSPAC0404",7,63,4,2,3,102,119,404
"1","ALSPAC0405",12,71,8,8,6,104,115,405
"3","ALSPAC0406",21,76,10,7,8,102,119,406
"1","ALSPAC0407",39,78,9,9,9,100,117,407
"1","ALSPAC0408",61,80,10,9,19,108,119,408
"3","ALSPAC0409",18,71,9,8,4,99,122,409
"1","ALSPAC0410",36,82,11,10,8,100,119,410
"3","ALSPAC0411",24,68,5,5,6,99,119,411
"2","ALSPAC0412",11,15,-2,-2,10,106,117,412
"2","ALSPAC0413",10,40,4,2,9,104,114,413
"3","ALSPAC0414",25,82,11,9,7,111,118,414
"1","ALSPAC0415",22,80,9,NA,4,108,120,415
"2","ALSPAC0416",9,40,7,7,3,98,117,416
"1","ALSPAC0417",32,65,7,6,NA,105,115,417
"2","ALSPAC0418",5,20,4,3,5,108,118,418
"1","ALSPAC0419",31,65,8,5,12,104,118,419
"3","ALSPAC0420",15,76,9,5,4,94,115,420
"1","ALSPAC0421",35,85,9,11,NA,101,119,421
"1","ALSPAC0422",24,68,8,9,12,106,121,422
"1","ALSPAC0423",43,85,10,8,14,101,117,423
"1","ALSPAC0424",39,76,8,8,12,100,117,424
"1","ALSPAC0425",40,69,8,8,14,106,119,425
"2","ALSPAC0426",9,34,2,0,3,99,116,426
"1","ALSPAC0427",39,84,11,8,6,98,109,427
"1","ALSPAC0428",27,66,8,8,12,103,115,428
"1","ALSPAC0429",34,75,8,7,8,110,118,429
"1","ALSPAC0430",20,68,8,7,11,105,116,430
"2","ALSPAC0431",9,25,1,1,6,103,123,431
"1","ALSPAC0432",30,66,8,6,10,104,117,432
"1","ALSPAC0433",45,82,10,9,10,99,113,433
"1","ALSPAC0434",19,67,8,8,9,110,119,434
"1","ALSPAC0435",45,73,9,8,13,101,119,435
"3","ALSPAC0436",29,79,10,8,8,103,112,436
"1","ALSPAC0437",36,83,9,9,12,103,112,437
"1","ALSPAC0438",36,78,8,7,6,99,117,438
"2","ALSPAC0439",21,49,9,8,8,98,119,439
"1","ALSPAC0440",37,74,8,7,11,104,118,440
"1","ALSPAC0441",27,77,10,9,10,105,111,441
"3","ALSPAC0442",20,66,9,5,5,106,119,442
"1","ALSPAC0443",42,78,9,8,10,101,127,443
"3","ALSPAC0444",23,84,8,6,8,105,119,444
"1","ALSPAC0445",24,80,9,9,11,103,112,445
"3","ALSPAC0446",18,45,4,2,2,98,121,446
"3","ALSPAC0447",24,85,7,6,8,108,120,447
"3","ALSPAC0448",13,51,6,5,5,102,124,448
"3","ALSPAC0449",24,67,8,5,6,109,119,449
"1","ALSPAC0450",55,82,11,9,13,110,115,450
"2","ALSPAC0451",8,26,4,3,4,105,123,451
"1","ALSPAC0452",32,77,9,8,15,108,122,452
"2","ALSPAC0453",8,28,2,0,5,103,124,453
"1","ALSPAC0454",30,70,8,7,9,98,122,454
"3","ALSPAC0455",14,75,7,5,NA,110,116,455
"1","ALSPAC0456",34,70,9,8,9,105,122,456
"1","ALSPAC0457",17,72,8,6,7,102,117,457
"3","ALSPAC0458",25,67,5,4,7,100,122,458
"1","ALSPAC0459",18,71,9,7,10,106,116,459
"1","ALSPAC0460",30,69,9,8,NA,102,113,460
"1","ALSPAC0461",41,68,8,8,14,98,122,461
"3","ALSPAC0462",18,64,7,6,6,103,124,462
"1","ALSPAC0463",28,68,9,8,10,105,116,463
"1","ALSPAC0464",43,78,10,8,13,105,122,464
"1","ALSPAC0465",46,81,9,8,15,107,119,465
"1","ALSPAC0466",49,76,11,9,13,102,124,466
"1","ALSPAC0467",45,83,10,9,12,108,122,467
"3","ALSPAC0468",27,78,8,8,11,99,116,468
"3","ALSPAC0469",30,64,7,8,12,102,122,469
"3","ALSPAC0470",14,58,5,4,4,101,118,470
"2","ALSPAC0471",13,44,5,4,8,104,118,471
"1","ALSPAC0472",35,77,9,8,11,110,122,472
"1","ALSPAC0473",28,75,8,8,10,103,109,473
"3","ALSPAC0474",22,77,7,4,10,102,111,474
"1","ALSPAC0475",51,80,9,6,9,102,117,475
"1","ALSPAC0476",27,69,8,7,8,99,118,476
"1","ALSPAC0477",38,79,10,9,13,104,117,477
"1","ALSPAC0478",39,68,9,6,12,107,109,478
"1","ALSPAC0479",57,83,10,8,12,102,116,479
"1","ALSPAC0480",41,81,10,7,11,105,113,480
"3","ALSPAC0481",18,73,5,5,6,103,119,481
"1","ALSPAC0482",37,88,10,10,8,101,120,482
"1","ALSPAC0483",44,87,10,9,NA,107,115,483
"1","ALSPAC0484",48,85,11,10,13,109,117,484
"1","ALSPAC0485",41,72,8,8,10,103,122,485
"3","ALSPAC0486",10,56,7,6,1,102,123,486
"3","ALSPAC0487",23,73,10,11,6,100,120,487
"2","ALSPAC0488",9,21,1,-2,4,102,119,488
"2","ALSPAC0489",11,45,4,2,7,104,123,489
"1","ALSPAC0490",16,65,7,6,9,108,120,490
"3","ALSPAC0491",20,75,7,8,7,110,118,491
"1","ALSPAC0492",26,72,9,9,7,102,121,492
